domainID,siteID,namedLocation,collectDate,sampleCondition,aquaticPlantType,growthForm,taxonID,scientificName,morphospeciesID,phylum,division,class,order,family,genus,section,specificEpithet,infraspecificEpithet,variety,form,taxonRank,identifiedDate,dataQF
D17,BIGC,BIGC.AOS.aquatic.plant.transect.02,2018-05-07T19:16:00Z,NA,plant,emergent,2PLANT,Unknown plant,Clovergrass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kingdom,NA,NA
D17,BIGC,BIGC.AOS.aquatic.plant.transect.02,2018-05-07T19:16:00Z,NA,plant,submerged,2PLANT,Unknown plant,Darkgui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kingdom,NA,NA
D17,BIGC,BIGC.AOS.aquatic.plant.transect.02,2018-05-07T19:16:00Z,NA,plant,submerged,2PLANT,Unknown plant,Darkgui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kingdom,NA,NA
D17,BIGC,BIGC.AOS.aquatic.plant.transect.02,2018-05-07T19:16:00Z,NA,plant,submerged,2PLANT,Unknown plant,Darkgui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kingdom,NA,NA
D17,BIGC,BIGC.AOS.aquatic.plant.transect.02,2018-05-07T19:16:00Z,NA,plant,submerged,2PLANT,Unknown plant,Darkgui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kingdom,NA,NA
D17,BIGC,BIGC.AOS.aquatic.plant.transect.02,2018-05-07T19:16:00Z,NA,plant,submerged,2PLANT,Unknown plant,Darkgui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kingdom,NA,NA
D17,BIGC,BIGC.AOS.aquatic.plant.transect.02,2018-05-07T19:16:00Z,NA,plant,submerged,2PLANT,Unknown plant,Darkgui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kingdom,NA,NA
D17,BIGC,BIGC.AOS.aquatic.plant.transect.04,2018-05-07T20:44:00Z,NA,plant,submerged,2PLANT,Unknown plant,Darkgui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kingdom,NA,NA
D17,BIGC,BIGC.AOS.aquatic.plant.transect.06,2018-05-07T22:29:00Z,NA,plant,submerged,2PLANT,Unknown plant,Darkgui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kingdom,NA,NA
D17,BIGC,BIGC.AOS.aquatic.plant.transect.06,2018-05-07T22:29:00Z,NA,plant,submerged,2PLANT,Unknown plant,Darkgui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kingdom,NA,NA
